;Ник;Голд;Кристаллы;Пирахи;
10.02.2023;-Brain-;9872285536;476175;10825000;
10.02.2023;DIMolition;27307684300578000;109831391;54550052;
10.02.2023;Очень синяя борода;812738086507799936;530404093;22774412;
10.02.2023;Kseya;62664493532594000;143603300;54570784;
10.02.2023;бешка-бебешка_;14145452041644000;1570927514;2147483647;
10.02.2023;barantya;1874007154660400;141721148;36850004;
10.02.2023;walmau 6altau;1356004723372000;400467080;13600000;
10.02.2023;T@nk;416322150206869952;197856342;51268250;
10.02.2023;Макыс;886842280905020032;515950;2150000;
10.02.2023;Jah Mason;36984132378385000;2147483647;48065075;
10.02.2023;Ragnar Lodbrok;1017482240502400000;1277962330;473794671;
10.02.2023;Задумавшийся;9223372036;295528840;152247500;
10.02.2023;Ice flame;1437728065387900160;459455318;2147483647;
10.02.2023;DomInatoR.;856386943719459968;500858756;68461649;
10.02.2023;Bravan;5912726688341799936;60635936;1554876501;
10.02.2023;Chokkolatta;175174950777670;691184048;22380500;
10.02.2023;Knowhere;343846067049680000;372408830;15150000;
10.02.2023;Ruslan);2646956875679500;2860000;1200000;
10.02.2023;Матюслик;970133749291800;63856525;17608000;
10.02.2023;Димсонхрендель;2863084900690200064;640560475;83375000;
10.02.2023;ASCENDANT;2841442555093600256;278738484;1085875000;
10.02.2023;danilRoman;941893010809110016;1098984956;332530665;
10.02.2023;:Сотофа Ханемер:;40589167542376;367631855;48834500;
10.02.2023;DYNA;2089747788116;12891246;43161675;
10.02.2023;Катберт;80298392069996000;138446347;64196634;
10.02.2023;Тудор;5424650022915400;1877604;1400500;
10.02.2023;*МАРТИНА*;48842052239219000;25020767;25390500;
10.02.2023;Ласт Перейро;2062189012017600000;2147483647;161798607;
10.02.2023;=ЛюЛюНдРа=;978016336455280000;247111945;662200000;
10.02.2023;~КоВбоЙ ХаГиС~;42386038495915000;58955341;38283500;
10.02.2023;~DROSSEL~;8287952461567;102448662;27685000;
10.02.2023;THE MECHANIC;13170315919532000;32600;50000;
10.02.2023;К@манчик;1268125305948400;209565011;119600000;
10.02.2023;Fon Dorf;843481186222069888;1378007148;87830000;
10.02.2023;DambLDoR;536745477219459968;274090515;2147483647;
10.02.2023;BarDuck;3907724382855000;7387443;2655550;
10.02.2023;Mental1tet;1103096679237600000;49766942;34200015;
10.02.2023;GoldGirl.;9223372046078099456;1621811956;1612684505;
10.02.2023;d_MIX_b;9223372036;195000;950000;
10.02.2023;zabu;4883676132290100224;121133579;52800000;
10.02.2023;*Kronos*;242021223372040;238715;651850;
10.02.2023;**SUPERHelen**;1442302638775699968;525663388;114400000;
10.02.2023;~Мальвина~;61197699255160000;255788286;23840000;
10.02.2023;Jateed;1777711258617200128;34099250;1906551575;
10.02.2023;Зверь Это Я;180929645502420000;222136355;31017155;
10.02.2023;dodid;3020267400120900096;2147483647;28535000;
10.02.2023;NeXTY;9223372036;352900;1150000;
10.02.2023;~Цветанка~;181599810775760000;120157750;2147483647;
10.02.2023;Katolik;783993589954710;600680;4550000;
10.02.2023;метрономикс;4540110827021800;87550;150000;
10.02.2023;Sollia;1965901256547699968;728802762;1295795410;
10.02.2023;~Бармалей~;2040279041748300032;394939355;2147483647;
10.02.2023;_Фея Лана_;698718397298140032;169679792;57690000;
10.02.2023;*Милка;3740396371789200384;65171198;458850000;
10.02.2023;Бродвей;998073352979609984;7023025;11150000;
10.02.2023;StasLz42;9223372036;215200;41000000;
10.02.2023;Kerberos;33849170123022000;927602;2243750;
10.02.2023;Pyrojok;11247649396;266400;610000;
10.02.2023;DominosZ;9223372036;161000;650000;
10.02.2023;Bape}||{ka;10909068693101;422101;100000;
