Ник;Поход;Лидер.;Балл;;;;;
;4;0;4;;;;;
**SUPERHelen**;38;0;38;;;;;
*Kronos*;40;10;50;;;;;
*МАРТИНА*;3;0;3;;;;;
*Милка;33;4;37;;;;;
-Brain-;40;4;44;;;;;
=ЛюЛюНдРа=;23;6;29;;;;;
ASCENDANT;28;0;28;;;;;
Bape}||{ka;10;2;12;;;;;
BarDuck;17;0;17;;;;;
Bravan;15;2;17;;;;;
Chokkolatta;8;0;8;;;;;
DIMolition;2;0;2;;;;;
DYNA;24;0;24;;;;;
DambLDoR;34;0;34;;;;;
DomInatoR.;29;0;29;;;;;
DominosZ;4;0;4;;;;;
Fon Dorf;29;0;29;;;;;
GoldGirl.;28;2;30;;;;;
Ice flame;27;0;27;;;;;
Katolik;9;0;9;;;;;
Kerberos;31;6;37;;;;;
Knowhere;2;0;2;;;;;
NeXTY;25;6;31;;;;;
Pyrojok;39;0;39;;;;;
Ragnar Lodbrok;8;0;8;;;;;
Ruslan);7;0;7;;;;;
StasLz42;40;6;46;;;;;
T@nk;40;10;50;;;;;
THE MECHANIC;1;0;1;;;;;
_Фея Лана_;21;6;27;;;;;
barantya;25;14;39;;;;;
d_MIX_b;6;0;6;;;;;
dodid;12;0;12;;;;;
walmau 6altau;6;0;6;;;;;
~DROSSEL~;29;2;31;;;;;
~Бармалей~;3;0;3;;;;;
Бродвей;32;0;32;;;;;
Димсонхрендель;32;0;32;;;;;
К@манчик;22;0;22;;;;;
Ласт Перейро;14;0;14;;;;;
Макыс;15;0;15;;;;;
Тудор;4;0;4;;;;;
бешка-бебешка_;23;0;23;;;;;
;;;;;;;;
