;ИД;Ник;Уров;БМ;Слава;Дата;Время;
1;870749;*МАРТИНА*;100;52398600999;2620070683;17.02.2023;21:51:41;
2;462783;Задумавшийся;100;52398600999;2620091663;17.02.2023;21:51:41;
3;908943;=ЛюЛюНдРа=;100;52398600999;2620025399;17.02.2023;21:51:41;
4;501099;DomInatoR.;100;52398600999;2620078670;17.02.2023;21:51:41;
5;2496733;dodid;92;52398600999;2620021502;17.02.2023;21:51:41;
6;3764012;~Цветанка~;100;52398600999;2620076587;17.02.2023;21:51:41;
7;1089588;DambLDoR;100;52398600999;2620074262;17.02.2023;21:51:41;
8;650294;Димсонхрендель;100;52398600999;2620057792;17.02.2023;21:51:41;
9;5040847;~Бармалей~;100;52398600999;2620079326;17.02.2023;21:51:41;
10;288026;бешка-бебешка_;100;52398600999;2620088166;17.02.2023;21:51:41;
11;5096764;*Милка;100;52398600999;2620073330;17.02.2023;21:51:41;
12;376980;walmau 6altau;100;52398600999;2620063902;17.02.2023;21:51:41;
13;2062503;~Мальвина~;100;52398600999;2620081708;17.02.2023;21:51:41;
14;905179;Ласт Перейро;100;52398600999;2620089191;17.02.2023;21:51:41;
15;463886;Ice flame;100;52398600999;2620077427;17.02.2023;21:51:41;
16;2485584;Зверь Это Я;100;52398600999;2620079989;17.02.2023;21:51:41;
17;572557;Bravan;100;52398600999;2620072568;17.02.2023;21:51:41;
18;1019164;Fon Dorf;100;52398600999;2620082667;17.02.2023;21:51:41;
19;5022279;Sollia;100;52398600999;2620067454;17.02.2023;21:51:41;
20;115164;Kseya;100;52398600999;2620070744;17.02.2023;21:51:41;
21;678808;ASCENDANT;100;52398600999;2620077900;17.02.2023;21:51:41;
22;5076581;_Фея Лана_;100;52398600999;2619986886;17.02.2023;21:51:41;
23;1181977;GoldGirl.;100;52398600999;2620095491;17.02.2023;21:51:41;
24;5126484;Бродвей;100;52398600999;2620061827;17.02.2023;21:51:41;
25;412652;T@nk;100;52398600999;2620078885;17.02.2023;21:51:41;
26;777637;Катберт;100;52398600999;2620090802;17.02.2023;21:51:41;
27;440363;Jah Mason;100;52398600999;2620071420;17.02.2023;21:51:41;
28;1702199;**SUPERHelen**;100;52398600999;2620065927;17.02.2023;21:51:41;
29;445845;Ragnar Lodbrok;100;52398600987;2620076738;17.02.2023;21:51:41;
30;90034;DIMolition;100;52398600987;2620086479;17.02.2023;21:51:41;
31;1104389;Mental1tet;100;52398600963;2620084295;17.02.2023;21:51:41;
32;926189;~КоВбоЙ ХаГиС~;100;52398600957;2620075428;17.02.2023;21:51:41;
33;2319099;Jateed;100;52315910219;2615936163;17.02.2023;21:51:41;
34;1216742;zabu;100;52177785952;2609045540;17.02.2023;21:51:41;
35;584757;Chokkolatta;78;50796675583;2539899426;17.02.2023;21:51:41;
36;95519;Очень синяя борода;100;47678126997;2384051620;17.02.2023;21:51:41;
37;708853;danilRoman;100;43872175723;2193756161;17.02.2023;21:51:41;
38;753639;:Сотофа Ханемер:;100;41922513344;2096190522;17.02.2023;21:51:41;
39;292168;barantya;100;39395236001;1969863387;17.02.2023;21:51:41;
40;1101368;BarDuck;83;36870409058;1843587732;17.02.2023;21:51:41;
41;636783;Матюслик;100;36353022375;1817732092;17.02.2023;21:51:41;
42;634550;Ruslan);100;35563309234;1778293675;17.02.2023;21:51:41;
43;968256;~DROSSEL~;100;34785721200;1739411246;17.02.2023;21:51:41;
44;1251877;*Kronos*;100;33533487522;1676715778;17.02.2023;21:51:41;
45;768271;DYNA;100;28237937979;1411943430;17.02.2023;21:51:41;
46;5142184;StasLz42;100;24450979153;1222593874;17.02.2023;21:51:41;
47;986834;К@манчик;50;23819575296;1191051056;17.02.2023;21:51:41;
48;1212368;d_MIX_b;100;18405749602;920374552;17.02.2023;21:51:41;
49;591001;Knowhere;100;13965288601;698381359;17.02.2023;21:51:41;
50;4560082;Katolik;100;13532634269;676705995;17.02.2023;21:51:41;
51;826347;Тудор;100;5652871513;282668581;17.02.2023;21:51:41;
52;5169343;Pyrojok;100;4820474587;241040093;17.02.2023;21:51:41;
53;10971;-Brain-;100;2634902476;131779357;17.02.2023;21:51:41;
54;4997377;метрономикс;100;2548203940;127444192;17.02.2023;21:51:41;
55;5164887;Kerberos;100;1673534852;83702181;17.02.2023;21:51:41;
56;5170990;DominosZ;100;1070812328;53549917;17.02.2023;21:51:41;
57;2971427;NeXTY;100;923792076;46219755;17.02.2023;21:51:41;
58;434737;Макыс;100;742413514;37174784;17.02.2023;21:51:41;
59;5171235;Bape}||{ka;100;719985097;36005104;17.02.2023;21:51:41;
60;984127;THE MECHANIC;84;411796459;20596532;17.02.2023;21:51:41;
17.02.2023;;;;;;;;
